04125880+5236421 04 12 58.793 +52 36 41.833 0.267 0.285 3.044                                             -0.006       2002AJ....123.3356G  0.058 0  -0.006       2002AJ....123.3356G 0 1
04131016+5031414 04 13 10.152 +50 31 41.426 0.263 0.281 4.112                                                                                     1  -1.000       1995AJ....110.1838R 0 1
04195968+3629113 04 19 59.684 +36 29 11.285 0.513 0.521        30.6387 2011AJ....141..166H                 0.081 0.050 2014MNRAS.443.2561G        0   0.081 0.050 2014MNRAS.443.2561G 0 0
04223348+3900436 04 22 33.502 +39 00 43.644 0.120 0.145 2.739                                0.147 0.082   0.147 0.082 ThisWork            -0.017 0   0.147 0.082 ThisWork            0 0
04261992+0336359 04 26 19.926 +03 36 35.920 0.091 0.118 1.033                                                                                     0  -2.600       1995AJ....110.1838R 1 0
04290013+2155214 04 29 00.125 +21 55 21.659 0.741 0.745 7.078                                              0.309 0.080 2014MNRAS.443.2561G  0.137 0   0.309 0.080 2014MNRAS.443.2561G 0 0
04302527+3951000 04 30 25.298 +39 50 59.442 0.174 0.196 2.834   0.7180 2016ApJ...821...93N  -4.263 0.080  -4.025 0.505 2002AJ....123.3356G  1.178 0  -4.025 0.505 2002AJ....123.3356G 1 0
04311147+5858375 04 31 11.502 +58 58 37.853 0.284 0.301 3.062                                             -0.075 0.073 2002AJ....123.3356G  0.081 0  -0.075 0.073 2002AJ....123.3356G 0 1
04363935+1113174 04 36 39.353 +11 13 17.375 0.241 0.260 3.749                                                                                     1  -1.000       1995AJ....110.1838R 0 0
04365843+5921599 04 36 58.453 +59 21 59.835 0.477 0.487                                                   -0.168 0.090 2014MNRAS.443.2561G        0  -0.168 0.090 2014MNRAS.443.2561G 0 0
04374092+5253372 04 37 40.930 +52 53 37.275 0.649 0.655 6.243                                              0.232       2002AJ....123.3356G  0.082 0   0.232       2002AJ....123.3356G 0 0
04394326+0951467 04 39 43.258 +09 51 46.836 0.284 0.301 4.223                                                                                     1  -1.000       1995AJ....110.1838R 0 0
04421603+5742275 04 42 16.018 +57 42 27.231 0.587 0.594 5.983                                              0.110 0.100 2014MNRAS.443.2561G  0.116 0   0.110 0.100 2014MNRAS.443.2561G 0 0
04425581+1857285 04 42 55.772 +18 57 29.518 0.476 0.485 5.130  38.9200 2007AcA....57..149K   0.263 0.019   0.146 0.023 2002AJ....123.3356G  0.049 0   0.146 0.023 2002AJ....123.3356G 0 0
04461849+4844518 04 46 18.489 +48 44 51.954 0.097 0.123 2.127                                                                                     1  -1.000       1995AJ....110.1838R 0 1
04505083+2207224 04 50 50.938 +22 07 21.523 0.135 0.159 1.966                               -0.448 0.059  -0.448 0.059 ThisWork             0.108 0  -0.448 0.059 ThisWork            0 0
04520573+0628356 04 52 05.729 +06 28 35.555 0.359 0.373 3.553                                              0.044 0.102 2002AJ....123.3356G  0.059 0   0.044 0.102 2002AJ....123.3356G 0 0
